time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,3.94,18.31,10.32,0.00,1.40,3.83,2.52,37.3,3.62,4.27
Food Cooking & Clean-up,3.72,18.40,9.77,0.01,1.77,3.53,1.88,61.3,3.35,4.08
"Pets, Home & Vehicles",2.63,20.06,7.55,0.00,1.30,1.95,1.27,36.2,2.36,2.91
Household Management,1.12,24.72,3.96,0.00,0.63,0.86,0.46,23.7,0.95,1.29
Shopping,2.93,18.13,7.60,0.00,1.71,0.14,1.03,45.6,2.63,3.24
Obtaining Services,0.10,21.87,0.32,0.00,0.04,0.03,0.04,2.6,0.07,0.14
Travel for Household Activity,2.34,24.75,8.29,0.00,1.22,0.03,1.00,48.6,2.17,2.51
Household Production,16.80,19.92,47.80,0.02,8.06,10.37,8.20,89.6,16.20,17.39
Household Children,0.02,18.05,0.05,,0.02,0.02,0.00,0.1,,0.05
Household Adults,0.17,17.91,0.43,0.00,0.14,0.07,0.02,5.3,0.06,0.28
Non-Household Members,0.59,18.09,1.51,0.00,0.45,0.16,0.06,9.3,0.44,0.74
Travel for Household Members,0.11,24.75,0.41,0.00,0.07,0.00,0.04,2.8,0.07,0.16
Travel for Non-Household Members,0.37,24.75,1.31,0.00,0.18,0.00,0.14,7.6,0.30,0.44
Caring and Helping,1.26,20.64,3.71,0.00,0.86,0.25,0.26,13.8,1.05,1.46
Eating & Drinking,8.02,18.25,20.90,0.01,5.01,3.93,1.73,95.2,7.75,8.28
Personal Health Care,0.80,17.95,2.06,0.00,0.33,0.33,0.36,6.9,0.56,1.04
Grooming,5.93,18.17,15.39,0.00,,,,87.4,5.74,6.12
Sleeping,61.16,18.58,162.34,,,,,100.0,60.67,61.65
"Private, Personal, or N/A",1.58,20.56,4.63,0.00,0.49,0.57,0.68,20.2,1.34,1.81
Personal Time,77.48,18.55,205.31,0.01,5.83,4.83,2.76,100.0,76.80,78.16
Socializing,5.18,20.35,15.07,0.00,3.84,1.98,0.44,39.9,4.79,5.57
Passive Leisure,19.50,17.40,48.46,0.04,12.96,17.95,6.14,88.2,18.44,20.55
Active Leisure,2.24,17.40,5.56,0.00,0.94,0.49,0.88,23.6,1.95,2.52
Attendance Leisure,0.94,17.40,2.35,0.00,0.74,0.04,0.06,5.0,0.69,1.20
Religious Activities,0.51,23.41,1.70,0.00,0.36,0.06,0.09,4.3,0.40,0.61
Volunteering,0.59,23.41,1.96,0.00,0.28,0.09,0.11,3.9,0.39,0.78
Travel Related to Leisure,3.12,24.75,11.04,0.00,2.00,0.03,0.95,51.6,2.89,3.35
Leisure,32.08,18.80,86.13,0.04,21.12,20.64,8.67,96.9,31.09,33.06
Working at Job,36.46,29.05,151.31,0.00,1.10,5.52,7.14,67.4,35.40,37.52
Educational Activities,1.07,23.41,3.57,0.00,0.21,0.76,0.65,4.5,0.82,1.32
Commuting to Work or School,2.86,24.75,10.10,0.00,0.22,0.04,2.49,53.9,2.51,3.21
Work and Education,40.39,28.60,164.98,0.00,1.54,6.31,10.29,69.6,39.15,41.62
Total,168.00,21.16,507.93,0.07,37.41,42.40,30.17,,,
