time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.58,18.31,4.12,0.00,0.70,1.53,0.86,18.5,1.47,1.69
Food Cooking & Clean-up,2.30,18.40,6.05,0.00,1.26,2.23,1.01,44.8,2.18,2.43
"Pets, Home & Vehicles",5.38,20.06,15.41,0.01,1.50,4.79,3.77,40.4,5.03,5.72
Household Management,0.99,24.72,3.50,0.00,0.47,0.78,0.49,19.9,0.89,1.09
Shopping,2.01,18.13,5.21,0.00,1.18,0.07,0.76,36.2,1.91,2.11
Obtaining Services,0.13,21.87,0.41,0.00,0.04,0.05,0.05,2.7,0.10,0.16
Travel for Household Activity,2.02,24.75,7.13,0.01,1.00,0.02,0.97,40.0,1.91,2.12
Household Production,14.40,20.33,41.82,0.03,6.15,9.47,7.91,80.0,13.97,14.84
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.17,17.91,0.43,0.00,0.12,0.08,0.04,6.3,0.14,0.20
Non-Household Members,0.80,18.09,2.08,0.00,0.59,0.23,0.09,8.0,0.67,0.93
Travel for Household Members,0.17,24.75,0.61,0.00,0.11,0.00,0.06,3.8,0.14,0.21
Travel for Non-Household Members,0.30,24.75,1.07,0.00,0.14,0.00,0.12,6.4,0.25,0.35
Caring and Helping,1.45,20.25,4.19,0.00,0.96,0.31,0.31,13.6,1.25,1.65
Eating & Drinking,8.39,18.25,21.87,0.01,4.99,4.74,2.23,96.4,8.22,8.57
Personal Health Care,0.55,17.95,1.41,0.00,0.15,0.30,0.32,5.7,0.44,0.66
Grooming,4.14,18.17,10.74,0.00,,,,81.1,4.05,4.22
Sleeping,57.27,18.58,152.00,,,,,99.9,56.65,57.88
"Private, Personal, or N/A",1.39,20.56,4.07,0.01,0.34,0.51,0.57,19.1,1.27,1.50
Personal Time,71.73,18.55,190.10,0.02,5.48,5.54,3.12,100.0,71.14,72.32
Socializing,4.06,20.35,11.80,0.01,3.31,1.74,0.15,34.6,3.88,4.24
Passive Leisure,23.72,17.40,58.96,0.05,13.78,22.31,9.44,91.8,22.93,24.51
Active Leisure,2.45,17.40,6.08,0.00,0.80,0.41,1.02,20.8,2.29,2.60
Attendance Leisure,0.77,17.40,1.91,0.00,0.58,0.02,0.07,4.0,0.62,0.92
Religious Activities,0.59,23.41,1.96,0.00,0.37,0.12,0.15,5.4,0.52,0.66
Volunteering,0.69,23.41,2.29,0.00,0.22,0.15,0.16,5.1,0.60,0.77
Travel Related to Leisure,2.77,24.75,9.79,0.00,1.54,0.03,1.06,48.9,2.50,3.04
Leisure,35.04,18.54,92.80,0.07,20.61,24.78,12.05,97.3,34.42,35.65
Working at Job,41.59,35.68,211.98,0.00,1.32,5.42,9.53,71.9,40.57,42.61
Educational Activities,0.29,23.41,0.98,0.00,0.06,0.19,0.18,1.1,0.21,0.38
Commuting to Work or School,3.50,24.75,12.37,0.00,0.23,0.04,3.09,58.6,3.28,3.71
Work and Education,45.38,34.76,225.33,0.00,1.61,5.65,12.80,72.8,44.21,46.55
Total,168.00,23.09,554.24,0.12,34.81,45.75,36.19,,,
