time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.90,18.31,12.81,0.00,1.60,4.79,3.26,41.8,4.32,5.48
Food Cooking & Clean-up,5.12,18.40,13.45,0.00,2.16,4.91,2.94,72.6,4.72,5.52
"Pets, Home & Vehicles",3.15,20.06,9.04,0.00,1.62,2.85,1.48,30.1,2.69,3.62
Household Management,1.45,24.72,5.12,0.00,0.63,1.22,0.78,27.5,1.07,1.83
Shopping,2.89,18.13,7.48,0.00,1.48,0.07,1.17,40.0,2.44,3.33
Obtaining Services,0.14,21.87,0.43,0.00,0.11,0.08,0.02,2.8,0.04,0.24
Travel for Household Activity,2.16,24.75,7.65,0.00,1.14,0.01,0.95,43.4,1.84,2.49
Household Production,19.81,19.78,55.98,0.00,8.74,13.93,10.61,89.8,18.47,21.15
Household Children,0.00,18.05,0.01,,0.00,0.00,0.00,0.1,,0.01
Household Adults,0.44,17.91,1.13,0.00,0.39,0.33,0.05,6.4,0.24,0.64
Non-Household Members,1.39,18.09,3.59,0.00,1.20,0.58,0.08,14.1,1.02,1.76
Travel for Household Members,0.15,24.75,0.54,0.00,0.12,0.00,0.03,2.2,0.01,0.29
Travel for Non-Household Members,0.50,24.75,1.75,0.00,0.26,0.00,0.18,10.3,0.31,0.68
Caring and Helping,2.48,19.79,7.02,0.00,1.97,0.92,0.34,19.9,1.90,3.07
Eating & Drinking,8.28,18.25,21.58,0.00,5.63,5.12,1.60,96.7,7.94,8.62
Personal Health Care,1.02,17.95,2.62,0.00,0.36,0.45,0.46,10.7,0.68,1.36
Grooming,5.68,18.17,14.75,0.00,,,,85.6,5.43,5.93
Sleeping,58.27,18.58,154.67,,,,,100.0,57.28,59.26
"Private, Personal, or N/A",1.79,20.56,5.25,0.00,0.61,0.63,0.63,21.6,1.40,2.17
Personal Time,75.04,18.55,198.87,0.01,6.60,6.20,2.68,100.0,73.97,76.12
Socializing,4.05,20.35,11.79,0.00,3.31,2.10,0.37,38.6,3.49,4.62
Passive Leisure,23.20,17.40,57.67,0.01,14.64,22.05,8.24,93.4,22.10,24.31
Active Leisure,1.20,17.40,2.98,0.00,0.53,0.38,0.51,15.6,0.99,1.41
Attendance Leisure,0.67,17.40,1.66,0.00,0.47,0.04,0.08,3.9,0.43,0.91
Religious Activities,1.20,23.41,4.02,0.00,0.61,0.33,0.36,10.2,0.89,1.51
Volunteering,0.74,23.41,2.48,0.00,0.21,0.29,0.24,5.9,0.53,0.95
Travel Related to Leisure,2.48,24.75,8.78,0.00,1.66,0.01,0.74,45.3,2.07,2.89
Leisure,33.56,18.65,89.39,0.01,21.44,25.20,10.54,98.5,32.23,34.88
Working at Job,34.54,29.69,146.54,0.00,0.68,5.24,8.08,64.8,32.37,36.72
Educational Activities,0.06,23.41,0.21,0.00,0.03,0.06,0.04,0.6,,0.12
Commuting to Work or School,2.50,24.75,8.84,0.00,0.27,0.02,2.14,51.0,2.23,2.77
Work and Education,37.11,29.35,155.59,0.00,0.97,5.32,10.25,65.3,34.77,39.44
Total,168.00,21.12,506.86,0.03,39.72,51.58,34.42,,,
