time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.00,18.31,2.62,0.00,0.39,0.95,0.61,12.0,0.64,1.36
Food Cooking & Clean-up,1.56,18.40,4.10,0.00,0.87,1.52,0.68,35.6,1.30,1.82
"Pets, Home & Vehicles",6.35,20.06,18.20,0.00,1.77,5.91,4.28,40.1,4.82,7.88
Household Management,0.87,24.72,3.07,0.00,0.42,0.67,0.38,17.0,0.64,1.10
Shopping,1.80,18.13,4.65,0.00,1.17,0.09,0.59,31.8,1.49,2.10
Obtaining Services,0.14,21.87,0.44,0.00,0.01,0.08,0.07,2.0,,0.28
Travel for Household Activity,2.00,24.75,7.06,0.00,1.11,0.01,0.83,36.6,1.55,2.44
Household Production,13.72,20.49,40.14,0.00,5.75,9.24,7.43,73.5,11.98,15.46
Household Children,0.00,18.05,0.00,,0.00,0.00,0.00,0.0,,
Household Adults,0.27,17.91,0.70,0.00,0.20,0.18,0.07,6.9,0.17,0.37
Non-Household Members,0.63,18.09,1.63,0.00,0.54,0.10,0.01,7.1,0.36,0.91
Travel for Household Members,0.17,24.75,0.60,0.00,0.11,0.00,0.06,3.3,0.06,0.28
Travel for Non-Household Members,0.23,24.75,0.83,0.00,0.09,0.00,0.08,5.7,0.13,0.34
Caring and Helping,1.31,20.11,3.76,0.00,0.94,0.29,0.22,13.4,0.92,1.70
Eating & Drinking,8.51,18.25,22.19,0.00,4.89,5.03,2.24,97.1,8.02,9.00
Personal Health Care,0.25,17.95,0.65,0.00,0.11,0.08,0.08,4.1,0.11,0.40
Grooming,4.18,18.17,10.85,0.00,,,,81.6,3.90,4.46
Sleeping,57.48,18.58,152.56,,,,,100.0,56.36,58.60
"Private, Personal, or N/A",1.36,20.56,4.00,0.00,0.59,0.58,0.52,15.2,0.97,1.75
Personal Time,71.78,18.55,190.25,0.00,5.58,5.69,2.84,100.0,70.58,72.99
Socializing,3.52,20.35,10.22,0.00,2.85,1.96,0.21,31.8,2.94,4.09
Passive Leisure,24.86,17.40,61.78,0.00,15.58,23.69,8.86,94.1,23.19,26.52
Active Leisure,1.70,17.40,4.21,0.00,0.48,0.32,0.79,14.7,1.26,2.13
Attendance Leisure,1.05,17.40,2.61,0.00,0.83,0.03,0.04,4.8,0.55,1.55
Religious Activities,0.92,23.41,3.08,0.00,0.72,0.20,0.17,7.4,0.60,1.24
Volunteering,0.81,23.41,2.72,0.00,0.30,0.20,0.11,4.8,0.47,1.15
Travel Related to Leisure,2.21,24.75,7.82,0.00,1.20,0.03,0.91,42.8,1.88,2.54
Leisure,35.06,18.46,92.44,0.00,21.97,26.43,11.08,97.8,33.15,36.97
Working at Job,42.14,37.17,223.74,0.00,0.51,3.54,9.22,70.9,39.18,45.10
Educational Activities,0.17,23.41,0.58,0.00,0.07,0.17,0.11,1.1,,0.35
Commuting to Work or School,3.82,24.75,13.50,0.00,0.22,0.04,3.38,60.9,3.37,4.27
Work and Education,46.13,36.09,237.82,0.00,0.80,3.76,12.71,71.5,42.97,49.28
Total,168.00,23.52,564.41,0.00,35.04,45.39,34.29,,,
