time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,1.73,18.31,4.53,0.07,0.89,1.68,0.84,19.2,1.53,1.93
Food Cooking & Clean-up,2.21,18.40,5.80,0.10,1.30,2.12,0.88,45.3,2.05,2.37
"Pets, Home & Vehicles",3.55,20.06,10.18,0.09,1.13,2.95,2.34,33.5,3.24,3.87
Household Management,0.92,24.72,3.25,0.03,0.52,0.72,0.37,16.9,0.73,1.11
Shopping,2.15,18.13,5.57,0.06,1.37,0.07,0.69,39.0,1.99,2.31
Obtaining Services,0.13,21.87,0.40,0.00,0.05,0.06,0.05,2.3,0.08,0.18
Travel for Household Activity,2.01,24.75,7.11,0.07,1.12,0.01,0.83,42.1,1.83,2.19
Household Production,12.70,20.30,36.85,0.41,6.39,7.62,5.98,78.6,12.17,13.23
Household Children,0.74,18.05,1.91,,0.73,0.67,0.01,4.3,0.56,0.93
Household Adults,0.13,17.91,0.34,0.00,0.09,0.06,0.04,5.8,0.10,0.17
Non-Household Members,0.80,18.09,2.07,0.01,0.52,0.17,0.07,7.7,0.60,1.00
Travel for Household Members,0.18,24.75,0.62,0.00,0.11,0.00,0.06,4.7,0.14,0.21
Travel for Non-Household Members,0.33,24.75,1.16,0.00,0.14,0.00,0.12,6.2,0.24,0.42
Caring and Helping,2.18,19.60,6.10,0.02,1.60,0.89,0.31,16.6,1.87,2.49
Eating & Drinking,8.04,18.25,20.95,0.30,4.87,4.15,1.88,96.1,7.81,8.26
Personal Health Care,0.37,17.95,0.94,0.00,0.11,0.21,0.23,3.6,0.20,0.53
Grooming,4.10,18.17,10.65,0.10,,,,81.3,3.92,4.28
Sleeping,58.93,18.58,156.42,,,,,99.9,58.23,59.64
"Private, Personal, or N/A",1.45,20.56,4.24,0.08,0.43,0.52,0.55,17.7,1.24,1.65
Personal Time,72.89,18.56,193.22,0.48,5.41,4.88,2.65,100.0,72.02,73.76
Socializing,4.47,20.35,13.01,0.21,3.61,1.75,0.16,35.5,4.15,4.80
Passive Leisure,22.74,17.40,56.53,0.68,14.72,21.17,7.44,89.9,21.71,23.77
Active Leisure,2.86,17.40,7.10,0.05,1.02,0.39,1.11,23.5,2.55,3.16
Attendance Leisure,0.87,17.40,2.16,0.02,0.64,0.06,0.08,4.6,0.65,1.09
Religious Activities,0.44,23.41,1.47,0.02,0.34,0.08,0.06,3.9,0.35,0.53
Volunteering,0.49,23.41,1.64,0.01,0.22,0.10,0.09,3.6,0.35,0.63
Travel Related to Leisure,2.85,24.75,10.09,0.05,1.64,0.03,0.98,51.2,2.50,3.21
Leisure,34.73,18.54,92.00,1.04,22.20,23.58,9.92,96.8,33.79,35.66
Working at Job,41.48,32.95,195.26,0.09,1.21,5.31,8.72,71.6,40.20,42.76
Educational Activities,0.53,23.41,1.77,0.01,0.13,0.33,0.31,2.4,0.39,0.67
Commuting to Work or School,3.49,24.75,12.35,0.00,0.23,0.03,3.07,59.6,3.23,3.76
Work and Education,45.50,32.21,209.38,0.10,1.58,5.67,12.09,72.8,44.09,46.91
Total,168.00,22.40,537.54,2.05,37.18,42.65,30.96,,,
