time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,5.94,18.31,15.53,3.71,2.51,5.83,3.36,52.8,5.59,6.28
Food Cooking & Clean-up,6.02,18.40,15.83,4.38,3.23,5.87,2.71,77.1,5.74,6.31
"Pets, Home & Vehicles",1.58,20.06,4.52,0.99,0.86,1.34,0.68,23.6,1.43,1.73
Household Management,1.07,24.72,3.79,0.62,0.60,0.87,0.45,25.8,0.95,1.19
Shopping,3.25,18.13,8.43,1.61,2.09,0.10,1.04,49.1,3.00,3.50
Obtaining Services,0.11,21.87,0.34,0.03,0.07,0.03,0.03,2.3,0.05,0.17
Travel for Household Activity,2.21,24.75,7.80,1.01,1.35,0.03,0.79,51.1,2.08,2.34
Household Production,20.18,19.51,56.25,12.36,10.71,14.07,9.08,93.8,19.60,20.77
Household Children,7.07,18.05,18.22,,6.58,4.98,0.33,72.8,6.76,7.37
Household Adults,0.17,17.91,0.42,0.10,0.15,0.12,0.01,6.5,0.11,0.22
Non-Household Members,0.48,18.09,1.24,0.19,0.39,0.10,0.03,9.3,0.37,0.60
Travel for Household Members,1.85,24.75,6.55,0.05,1.27,0.04,0.56,45.5,1.63,2.07
Travel for Non-Household Members,0.29,24.75,1.02,0.13,0.19,0.00,0.06,8.0,0.24,0.34
Caring and Helping,9.85,19.51,27.46,0.47,8.58,5.24,0.99,76.4,9.43,10.27
Eating & Drinking,7.20,18.25,18.76,4.25,5.10,4.16,1.10,96.2,7.00,7.40
Personal Health Care,0.72,17.95,1.85,0.23,0.27,0.28,0.34,6.8,0.58,0.86
Grooming,5.45,18.17,14.15,2.15,,,,87.0,5.23,5.68
Sleeping,58.16,18.58,154.38,,,,,99.9,57.56,58.77
"Private, Personal, or N/A",1.71,20.56,5.01,0.81,0.74,0.68,0.46,25.0,1.54,1.87
Personal Time,73.24,18.56,194.16,7.45,6.11,5.13,1.89,100.0,72.60,73.89
Socializing,4.62,20.35,13.42,2.93,3.84,1.98,0.22,41.9,4.29,4.94
Passive Leisure,15.43,17.40,38.35,9.03,10.98,14.45,4.22,84.9,14.68,16.18
Active Leisure,1.54,17.40,3.83,0.76,0.82,0.40,0.47,16.7,1.23,1.85
Attendance Leisure,1.02,17.40,2.54,0.71,0.87,0.05,0.07,5.7,0.85,1.19
Religious Activities,0.79,23.41,2.63,0.53,0.61,0.13,0.11,8.0,0.67,0.90
Volunteering,0.91,23.41,3.04,0.48,0.48,0.20,0.18,8.0,0.76,1.06
Travel Related to Leisure,2.46,24.75,8.71,1.31,1.82,0.02,0.53,48.0,2.26,2.67
Leisure,26.77,18.96,72.51,15.75,19.42,17.24,5.79,95.8,26.11,27.43
Working at Job,34.90,29.32,146.19,3.05,1.36,5.43,6.52,67.0,33.81,36.00
Educational Activities,0.47,23.41,1.59,0.18,0.10,0.32,0.26,2.3,0.33,0.62
Commuting to Work or School,2.58,24.75,9.11,0.17,0.25,0.03,2.23,54.1,2.43,2.73
Work and Education,37.96,28.93,156.88,3.40,1.71,5.78,9.01,68.3,36.75,39.16
Total,168.00,21.14,507.27,39.42,46.54,47.45,26.76,,,
