time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.12,18.31,5.54,1.39,1.30,2.09,0.80,24.4,1.85,2.39
Food Cooking & Clean-up,2.98,18.40,7.83,2.13,1.87,2.86,1.09,52.3,2.75,3.21
"Pets, Home & Vehicles",3.47,20.06,9.94,1.60,1.13,2.93,2.16,25.3,3.02,3.92
Household Management,0.92,24.72,3.26,0.45,0.53,0.66,0.33,18.5,0.76,1.09
Shopping,1.83,18.13,4.73,1.07,1.26,0.07,0.52,36.0,1.63,2.02
Obtaining Services,0.08,21.87,0.27,0.02,0.02,0.02,0.04,2.2,0.05,0.12
Travel for Household Activity,1.80,24.75,6.37,0.78,0.99,0.01,0.77,39.6,1.63,1.97
Household Production,13.20,20.11,37.94,7.44,7.10,8.64,5.71,80.8,12.51,13.90
Household Children,11.79,18.05,30.41,,11.59,10.59,0.15,76.3,10.85,12.74
Household Adults,0.18,17.91,0.46,0.07,0.16,0.06,0.03,5.4,0.11,0.26
Non-Household Members,0.44,18.09,1.13,0.13,0.27,0.08,0.02,6.0,0.29,0.58
Travel for Household Members,1.14,24.75,4.02,0.06,0.80,0.02,0.32,27.5,1.00,1.27
Travel for Non-Household Members,0.23,24.75,0.80,0.05,0.12,0.00,0.08,4.6,0.16,0.30
Caring and Helping,13.77,18.71,36.82,0.31,12.94,10.75,0.60,78.5,12.88,14.67
Eating & Drinking,7.96,18.25,20.76,4.51,5.49,4.76,1.34,97.0,7.76,8.17
Personal Health Care,0.27,17.95,0.70,0.07,0.12,0.07,0.11,3.2,0.16,0.39
Grooming,3.67,18.17,9.54,1.37,,,,77.5,3.51,3.84
Sleeping,56.91,18.58,151.04,,,,,100.0,56.16,57.65
"Private, Personal, or N/A",1.70,20.56,5.00,0.82,0.79,0.95,0.53,20.2,1.46,1.94
Personal Time,70.52,18.57,187.05,6.77,6.41,5.79,1.99,100.0,69.60,71.44
Socializing,4.72,20.35,13.73,2.99,4.12,2.26,0.07,37.4,4.25,5.20
Passive Leisure,16.68,17.40,41.46,8.17,11.89,15.58,4.23,85.9,16.03,17.33
Active Leisure,1.91,17.40,4.74,0.62,0.80,0.36,0.61,16.4,1.67,2.14
Attendance Leisure,0.74,17.40,1.84,0.41,0.57,0.06,0.04,4.2,0.56,0.93
Religious Activities,0.64,23.41,2.14,0.44,0.51,0.09,0.07,6.0,0.53,0.75
Volunteering,0.58,23.41,1.93,0.20,0.22,0.08,0.08,3.9,0.42,0.74
Travel Related to Leisure,2.33,24.75,8.23,1.12,1.37,0.03,0.73,45.3,2.07,2.58
Leisure,27.60,18.79,74.07,13.97,19.48,18.46,5.83,94.4,26.48,28.71
Working at Job,39.28,33.24,186.49,1.43,1.23,4.54,7.92,69.6,37.95,40.61
Educational Activities,0.33,23.41,1.11,0.10,0.06,0.20,0.18,1.7,0.19,0.47
Commuting to Work or School,3.30,24.75,11.66,0.09,0.12,0.08,2.90,56.7,3.00,3.60
Work and Education,42.91,32.51,199.26,1.62,1.41,4.82,11.00,70.6,41.46,44.36
Total,168.00,22.30,535.13,30.11,47.34,48.46,25.13,,,
