time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.17,18.31,5.67,0.00,0.83,2.10,1.34,26.7,1.63,2.70
Food Cooking & Clean-up,2.73,18.40,7.18,0.10,1.35,2.69,1.38,44.6,2.12,3.35
"Pets, Home & Vehicles",9.74,20.06,27.89,0.00,2.95,9.19,6.49,52.4,8.03,11.44
Household Management,2.06,24.72,7.27,0.00,0.59,1.69,1.46,30.1,1.11,3.00
Shopping,3.22,18.13,8.33,0.02,2.10,0.18,1.04,44.0,2.42,4.02
Obtaining Services,0.19,21.87,0.61,0.00,0.01,0.04,0.05,2.3,,0.42
Travel for Household Activity,2.83,24.75,9.99,0.02,1.77,0.03,0.91,50.0,2.06,3.59
Household Production,22.93,20.44,66.94,0.15,9.61,15.92,12.67,86.5,20.63,25.23
Household Children,0.12,18.05,0.30,,0.12,0.08,0.00,0.5,,0.30
Household Adults,1.42,17.91,3.62,0.00,1.30,0.83,0.11,8.1,0.17,2.66
Non-Household Members,3.03,18.09,7.84,0.00,2.34,1.56,0.26,18.5,1.82,4.25
Travel for Household Members,0.23,24.75,0.83,0.00,0.18,0.00,0.05,4.2,0.06,0.41
Travel for Non-Household Members,0.63,24.75,2.23,0.00,0.30,0.01,0.16,12.6,0.37,0.90
Caring and Helping,5.43,19.10,14.82,0.00,4.24,2.47,0.59,25.8,3.78,7.08
Eating & Drinking,9.94,18.25,25.91,0.08,7.53,7.02,1.95,97.2,9.11,10.77
Personal Health Care,2.43,17.95,6.23,0.00,0.87,1.72,1.35,17.5,1.18,3.68
Grooming,3.31,18.17,8.60,0.01,,,,64.9,2.92,3.70
Sleeping,62.77,18.58,166.61,,,,,100.0,61.28,64.27
"Private, Personal, or N/A",1.85,20.56,5.43,0.00,0.49,0.38,0.48,23.8,1.32,2.38
Personal Time,80.30,18.55,212.78,0.09,8.89,9.13,3.78,100.0,77.86,82.74
Socializing,4.86,20.35,14.13,0.07,4.09,2.02,0.09,35.7,3.62,6.10
Passive Leisure,42.01,17.40,104.40,0.28,24.64,40.70,16.94,97.5,39.28,44.73
Active Leisure,4.47,17.40,11.11,0.00,1.08,0.65,2.06,29.2,3.40,5.55
Attendance Leisure,0.72,17.40,1.79,0.00,0.69,0.05,0.03,4.3,0.36,1.09
Religious Activities,0.78,23.41,2.61,0.03,0.41,0.27,0.17,6.9,0.49,1.07
Volunteering,1.27,23.41,4.23,0.00,0.26,0.42,0.55,7.9,0.76,1.77
Travel Related to Leisure,3.35,24.75,11.85,0.01,1.99,0.01,1.26,52.8,2.61,4.09
Leisure,57.45,18.29,150.12,0.39,33.15,44.11,21.11,99.3,54.73,60.18
Working at Job,1.73,0.00,0.00,0.00,0.00,0.47,0.16,4.9,0.76,2.70
Educational Activities,0.03,23.41,0.10,0.00,0.00,0.03,0.03,0.4,,0.08
Commuting to Work or School,0.13,24.75,0.45,0.00,0.01,0.00,0.10,3.5,0.04,0.21
Work and Education,1.88,2.03,0.55,0.00,0.02,0.51,0.29,6.5,0.86,2.91
Total,168.00,18.55,445.21,0.63,55.91,72.14,38.43,,,
