time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,4.49,18.31,11.75,2.65,2.31,4.24,1.74,41.5,3.78,5.21
Food Cooking & Clean-up,4.33,18.40,11.39,2.97,2.14,4.14,1.86,60.2,3.78,4.89
"Pets, Home & Vehicles",0.64,20.06,1.83,0.16,0.20,0.34,0.40,8.3,0.31,0.97
Household Management,0.69,24.72,2.43,0.34,0.39,0.38,0.21,19.9,0.48,0.90
Shopping,2.78,18.13,7.21,1.22,1.43,0.06,0.70,43.0,2.18,3.39
Obtaining Services,0.09,21.87,0.28,0.05,0.07,0.02,0.01,2.1,0.01,0.17
Travel for Household Activity,1.63,24.75,5.76,0.79,1.02,0.01,0.45,46.7,1.38,1.88
Household Production,14.66,19.42,40.66,8.18,7.55,9.18,5.36,87.5,13.31,16.00
Household Children,11.94,18.05,30.78,,11.36,10.27,0.24,72.6,10.48,13.39
Household Adults,0.11,17.91,0.28,0.05,0.10,0.02,0.00,4.0,0.03,0.19
Non-Household Members,0.55,18.09,1.43,0.17,0.37,0.17,0.05,10.6,0.26,0.84
Travel for Household Members,1.55,24.75,5.48,0.04,1.00,0.03,0.45,35.3,1.27,1.84
Travel for Non-Household Members,0.42,24.75,1.48,0.17,0.25,0.00,0.10,8.0,0.21,0.63
Caring and Helping,14.57,18.96,39.46,0.44,13.09,10.50,0.84,75.6,12.88,16.25
Eating & Drinking,6.01,18.25,15.66,3.01,3.39,3.22,1.35,89.8,5.28,6.74
Personal Health Care,0.74,17.95,1.90,0.11,0.12,0.10,0.42,7.7,0.38,1.11
Grooming,6.06,18.17,15.74,2.14,,,,85.8,5.44,6.69
Sleeping,60.36,18.58,160.20,,,,,99.8,59.04,61.68
"Private, Personal, or N/A",1.72,20.56,5.05,0.75,0.63,0.65,0.57,25.1,1.31,2.13
Personal Time,74.89,18.56,198.55,6.01,4.13,3.98,2.34,100.0,73.47,76.31
Socializing,5.13,20.35,14.93,2.83,3.63,1.55,0.26,37.3,3.83,6.44
Passive Leisure,16.89,17.40,41.99,8.76,9.00,15.02,6.21,80.5,14.98,18.80
Active Leisure,0.80,17.40,1.99,0.35,0.35,0.15,0.24,7.6,0.48,1.12
Attendance Leisure,0.74,17.40,1.83,0.24,0.55,0.00,0.02,4.0,0.33,1.15
Religious Activities,0.85,23.41,2.85,0.49,0.61,0.13,0.11,7.9,0.59,1.12
Volunteering,0.36,23.41,1.19,0.07,0.08,0.09,0.08,3.3,0.09,0.62
Travel Related to Leisure,2.41,24.75,8.52,0.96,1.23,0.01,0.88,47.6,1.86,2.96
Leisure,27.18,18.87,73.29,13.70,15.44,16.95,7.79,94.0,24.08,30.29
Working at Job,32.74,18.04,84.39,0.82,0.57,1.72,4.79,61.9,29.76,35.72
Educational Activities,1.24,23.41,4.15,0.17,0.17,0.53,0.72,5.3,0.63,1.86
Commuting to Work or School,2.72,24.75,9.63,0.07,0.18,0.01,2.30,56.2,2.23,3.21
Work and Education,36.70,18.72,98.17,1.06,0.93,2.26,7.81,64.6,33.25,40.15
Total,168.00,18.76,450.14,29.38,41.15,42.86,24.14,,,
