time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.50,18.31,6.53,0.00,0.56,2.34,1.92,28.6,2.03,2.97
Food Cooking & Clean-up,3.68,18.40,9.67,0.01,1.51,3.59,2.16,54.8,3.25,4.11
"Pets, Home & Vehicles",12.57,20.06,36.01,0.00,1.42,11.41,10.85,59.6,11.33,13.80
Household Management,1.83,24.72,6.47,0.00,0.52,1.46,1.27,30.2,1.49,2.17
Shopping,2.80,18.13,7.26,0.01,1.33,0.10,1.43,41.6,2.43,3.18
Obtaining Services,0.47,21.87,1.48,0.00,0.07,0.32,0.10,6.2,0.08,0.87
Travel for Household Activity,2.42,24.75,8.57,0.01,0.90,0.02,1.49,48.6,2.12,2.73
Household Production,26.28,20.24,75.99,0.03,6.31,19.25,19.21,90.3,24.75,27.80
Household Children,0.05,18.05,0.14,,0.05,0.05,0.00,0.9,,0.11
Household Adults,0.26,17.91,0.68,0.00,0.15,0.08,0.12,7.6,0.14,0.39
Non-Household Members,2.04,18.09,5.26,0.00,1.57,0.79,0.28,14.9,1.50,2.57
Travel for Household Members,0.28,24.75,1.01,0.00,0.17,0.00,0.11,5.8,0.18,0.38
Travel for Non-Household Members,0.53,24.75,1.89,0.00,0.28,0.01,0.19,11.3,0.36,0.71
Caring and Helping,3.17,19.79,8.97,0.00,2.22,0.94,0.69,21.7,2.56,3.78
Eating & Drinking,9.89,18.25,25.77,0.03,6.56,7.43,2.76,96.8,9.39,10.38
Personal Health Care,1.43,17.95,3.66,0.00,0.22,0.88,1.07,14.5,0.73,2.12
Grooming,3.02,18.17,7.84,0.01,,,,62.6,2.77,3.27
Sleeping,60.96,18.58,161.81,,,,,100.0,59.96,61.96
"Private, Personal, or N/A",2.52,20.56,7.40,0.01,0.43,0.81,0.96,27.8,2.01,3.03
Personal Time,77.82,18.57,206.48,0.04,7.21,9.12,4.79,100.0,76.43,79.20
Socializing,5.33,20.35,15.49,0.02,4.05,2.70,0.35,44.2,4.60,6.06
Passive Leisure,43.00,17.40,106.88,0.08,18.35,42.00,24.49,96.9,40.77,45.24
Active Leisure,3.18,17.40,7.90,0.00,0.66,0.66,1.92,24.9,2.61,3.75
Attendance Leisure,0.94,17.40,2.34,0.00,0.67,0.05,0.09,6.2,0.61,1.28
Religious Activities,0.92,23.41,3.07,0.00,0.53,0.27,0.28,8.0,0.71,1.13
Volunteering,1.83,23.41,6.12,0.01,0.24,0.58,0.84,8.7,1.24,2.42
Travel Related to Leisure,3.54,24.75,12.50,0.00,1.92,0.04,1.45,51.4,2.93,4.14
Leisure,58.74,18.39,154.31,0.10,26.43,46.31,29.43,99.4,56.93,60.55
Working at Job,1.80,22.47,5.77,0.00,0.14,0.67,0.83,5.4,1.01,2.59
Educational Activities,0.08,23.41,0.26,0.00,0.00,0.08,0.07,0.2,,0.22
Commuting to Work or School,0.12,24.75,0.43,0.00,0.02,0.00,0.09,2.8,0.05,0.19
Work and Education,2.00,22.64,6.46,0.00,0.17,0.75,0.99,6.3,1.14,2.85
Total,168.00,18.84,452.21,0.18,42.34,76.37,55.12,,,
